Postcode,Type,Subtype,Price,Bedrooms,Area,Kitchen,Fireplace,Frontages,Garden,Garden_surface,Terrace,Terrace_Surface,Furnished,Type_of_sale,State_of_building,Swimmingpool,ID IMMOWEB,Cadastral_income,Plot_surface
4042,HOUSE,HOUSE,299000,5.0,186.0,SEMI_EQUIPPED,,4.0,True,406.0,True,32.0,,BUY_REGULAR,GOOD,,20487616,852.0,705.0
1200,HOUSE,HOUSE,595000,3.0,150.0,HYPER_EQUIPPED,,3.0,True,30.0,True,40.0,,BUY_REGULAR,GOOD,,20480356,1911.0,307.0
4877,HOUSE,HOUSE,725000,4.0,298.0,HYPER_EQUIPPED,,4.0,True,1790.0,True,42.0,,BUY_REGULAR,GOOD,,20487834,,1790.0
1640,HOUSE,HOUSE,795000,4.0,168.0,HYPER_EQUIPPED,,4.0,True,70.0,True,20.0,,BUY_REGULAR,AS_NEW,,20487844,,435.0
1970,HOUSE,HOUSE,545000,3.0,150.0,HYPER_EQUIPPED,,4.0,True,175.0,True,12.0,,BUY_REGULAR,TO_BE_DONE_UP,,20487536,2191.0,279.0
1170,HOUSE,HOUSE,565000,4.0,173.0,INSTALLED,,2.0,True,60.0,True,10.0,,BUY_REGULAR,TO_BE_DONE_UP,,20486964,,120.0
1930,HOUSE,HOUSE,395000,3.0,150.0,,,3.0,True,200.0,True,15.0,,BUY_REGULAR,TO_RENOVATE,,20485524,1264.0,371.0
4051,HOUSE,HOUSE,229000,4.0,143.0,INSTALLED,,2.0,True,79.0,True,13.0,,BUY_REGULAR,GOOD,,20487058,,216.0
2950,HOUSE,HOUSE,249000,2.0,89.0,INSTALLED,,2.0,,,True,28.0,,BUY_REGULAR,TO_BE_DONE_UP,,20486371,287.0,60.0
9700,HOUSE,HOUSE,430000,3.0,162.0,,,3.0,,,True,7.0,,BUY_REGULAR,GOOD,,20488522,689.0,725.0
6900,HOUSE,HOUSE,285000,5.0,191.0,INSTALLED,,4.0,True,1810.0,True,40.0,,BUY_REGULAR,GOOD,,20487518,,1810.0
8400,HOUSE,HOUSE,225000,4.0,184.0,,,,True,53.0,True,7.0,,BUY_REGULAR,TO_RENOVATE,,20488075,713.0,133.0
9112,HOUSE,HOUSE,319000,2.0,136.0,NOT_INSTALLED,,3.0,True,415.0,,,,BUY_REGULAR,TO_RENOVATE,,20488845,,524.0
9052,HOUSE,HOUSE,350000,3.0,149.0,INSTALLED,,2.0,True,253.0,True,,,BUY_REGULAR,TO_RENOVATE,,20487204,907.0,377.0
2018,HOUSE,HOUSE,345000,3.0,125.0,INSTALLED,,2.0,,,True,,,BUY_REGULAR,GOOD,,20486446,586.0,63.0
9680,HOUSE,HOUSE,349000,3.0,130.0,,,2.0,,,True,,,BUY_REGULAR,GOOD,,20486798,,381.0
3990,HOUSE,HOUSE,425000,4.0,303.0,INSTALLED,,4.0,,,,,,BUY_REGULAR,TO_RENOVATE,,20488894,1333.0,1984.0
1200,HOUSE,HOUSE,780000,4.0,197.0,HYPER_EQUIPPED,,2.0,True,75.0,True,,,BUY_REGULAR,GOOD,,20488812,,160.0
8560,HOUSE,HOUSE,185000,4.0,165.0,,,2.0,True,64.0,True,,,BUY_REGULAR,GOOD,,20488977,498.0,208.0
8880,HOUSE,HOUSE,149000,,152.0,,,2.0,True,124.0,,,,BUY_REGULAR,TO_RENOVATE,,20488978,277.0,340.0
8560,HOUSE,HOUSE,399000,3.0,144.0,,,4.0,,,,,,BUY_REGULAR,GOOD,,20488976,1443.0,969.0
6890,HOUSE,HOUSE,319000,3.0,160.0,INSTALLED,,4.0,True,1134.0,True,66.0,,BUY_REGULAR,GOOD,,20488185,,1134.0
8890,HOUSE,HOUSE,395000,2.0,231.0,,,4.0,,,True,,,BUY_REGULAR,AS_NEW,,20488974,602.0,1215.0
8940,HOUSE,HOUSE,279000,3.0,137.0,,,2.0,True,65.0,True,,,BUY_REGULAR,AS_NEW,,20488975,270.0,155.0
8670,HOUSE,HOUSE,85000,1.0,32.0,,,2.0,,,,,,BUY_REGULAR,AS_NEW,,10035620,,
1330,HOUSE,HOUSE,750000,4.0,225.0,SEMI_EQUIPPED,,4.0,,,True,,,BUY_REGULAR,,,20488971,,4093.0
1755,HOUSE,HOUSE,289000,3.0,200.0,SEMI_EQUIPPED,,2.0,,,True,,,BUY_REGULAR,TO_RENOVATE,,20488968,483.0,3540.0
8501,HOUSE,HOUSE,175000,3.0,172.0,,,2.0,,,True,30.0,,BUY_REGULAR,GOOD,,20488967,458.0,290.0
6060,HOUSE,HOUSE,199000,5.0,,INSTALLED,,2.0,True,1.0,,,,BUY_REGULAR,GOOD,,20134672,446.0,
2610,HOUSE,HOUSE,259000,4.0,113.0,SEMI_EQUIPPED,,2.0,,,,,,BUY_REGULAR,GOOD,,20488915,,
8501,HOUSE,HOUSE,120000,3.0,109.0,,,3.0,,,True,26.0,,BUY_REGULAR,TO_RENOVATE,,20488966,,104.0
4800,HOUSE,HOUSE,109000,7.0,165.0,NOT_INSTALLED,,2.0,True,70.0,,,,BUY_REGULAR,TO_BE_DONE_UP,,20488916,,150.0
8900,HOUSE,HOUSE,295000,2.0,,INSTALLED,,4.0,,,True,,,BUY_REGULAR,GOOD,,20488904,540.0,981.0
8500,HOUSE,HOUSE,498000,3.0,185.0,INSTALLED,,4.0,True,600.0,True,20.0,,BUY_REGULAR,GOOD,,20488903,1039.0,872.0
6900,HOUSE,HOUSE,189000,3.0,122.0,SEMI_EQUIPPED,,4.0,True,926.0,True,10.0,,BUY_REGULAR,TO_BE_DONE_UP,,20482366,547.0,926.0
4600,HOUSE,HOUSE,299000,3.0,90.0,INSTALLED,,4.0,True,200.0,True,40.0,,BUY_REGULAR,GOOD,,20483775,860.0,451.0
2845,HOUSE,HOUSE,324000,4.0,137.0,INSTALLED,,2.0,True,80.0,True,10.0,,BUY_REGULAR,AS_NEW,,20475744,490.0,225.0
9600,HOUSE,HOUSE,209000,3.0,161.0,INSTALLED,,4.0,True,205.0,True,18.0,,BUY_REGULAR,TO_BE_DONE_UP,,20486806,576.0,457.0
2900,HOUSE,HOUSE,419000,4.0,250.0,INSTALLED,,2.0,True,91.0,True,17.0,,BUY_REGULAR,AS_NEW,,20486708,991.0,172.0
4031,HOUSE,HOUSE,199000,3.0,120.0,INSTALLED,,2.0,True,20.0,True,20.0,,BUY_REGULAR,GOOD,,20482660,483.0,110.0
1000,HOUSE,HOUSE,565000,3.0,215.0,HYPER_EQUIPPED,,2.0,,,True,25.0,True,BUY_REGULAR,AS_NEW,,20477481,495.0,102.0
2230,HOUSE,HOUSE,443500,3.0,248.0,INSTALLED,,4.0,,,True,,,BUY_REGULAR,GOOD,,20480160,1048.0,1927.0
6700,HOUSE,HOUSE,185000,2.0,283.0,SEMI_EQUIPPED,,2.0,True,450.0,True,,,BUY_REGULAR,TO_BE_DONE_UP,,20487828,319.0,450.0
4040,HOUSE,HOUSE,249000,3.0,132.0,HYPER_EQUIPPED,,2.0,True,69.0,True,28.0,,BUY_REGULAR,AS_NEW,,20487889,701.0,174.0
1950,HOUSE,HOUSE,595000,4.0,225.0,NOT_INSTALLED,,4.0,True,3000.0,True,22.0,,BUY_REGULAR,TO_RENOVATE,,20487611,4237.0,4000.0
2860,HOUSE,HOUSE,435000,4.0,151.0,,,,,,True,,,BUY_REGULAR,GOOD,,20488663,618.0,853.0
9700,HOUSE,HOUSE,447000,3.0,182.0,,,4.0,,,True,,,BUY_REGULAR,GOOD,,20485980,,727.0
2660,HOUSE,HOUSE,336000,3.0,136.0,,,,True,25.0,True,16.0,,BUY_REGULAR,TO_RENOVATE,,20481076,959.0,206.0
9550,HOUSE,HOUSE,349000,3.0,169.0,INSTALLED,,2.0,True,180.0,True,25.0,,BUY_REGULAR,AS_NEW,,20483880,551.0,325.0
9270,HOUSE,HOUSE,449000,3.0,137.0,,,4.0,,,True,,,BUY_REGULAR,GOOD,,20486797,,629.0
1150,HOUSE,HOUSE,615000,4.0,220.0,INSTALLED,,2.0,True,120.0,True,,,BUY_REGULAR,TO_RENOVATE,,20480746,,195.0
9700,HOUSE,HOUSE,295000,3.0,129.0,,,4.0,,,True,,,BUY_REGULAR,TO_RENOVATE,,20483259,490.0,516.0
1080,HOUSE,HOUSE,450000,4.0,238.0,,,4.0,True,47.0,,,,BUY_REGULAR,TO_BE_DONE_UP,,20488902,,
3990,HOUSE,HOUSE,425000,4.0,303.0,INSTALLED,,4.0,,,,,,BUY_REGULAR,TO_RENOVATE,,20488894,1333.0,1984.0
9200,HOUSE,HOUSE,180000,2.0,150.0,,,3.0,,,,,,BUY_REGULAR,,,20488891,290.0,552.0
1502,HOUSE,HOUSE,249000,3.0,102.0,,,2.0,,,,,,BUY_REGULAR,,,20488888,1555.0,287.0
4821,HOUSE,HOUSE,245000,2.0,169.0,INSTALLED,,3.0,,,True,17.0,,BUY_REGULAR,GOOD,,20488867,,146.0
6040,HOUSE,HOUSE,239900,4.0,200.0,INSTALLED,,2.0,True,210.0,True,30.0,,BUY_REGULAR,GOOD,,20488872,1000.0,324.0
2660,HOUSE,HOUSE,345000,6.0,216.0,INSTALLED,,2.0,,,,,,BUY_REGULAR,TO_BE_DONE_UP,,20488879,470.0,240.0
